Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,712232568,sweda,0,356.25,PG T.J. McConnell SG Malcolm Brogdon SF Justin Anderson PF Blake Griffin C Dwight Howard G Russell Westbrook F Timothé Luwawu-Cabarrot UTIL Nik Stauskas,,Justin Anderson,96.49%,17
2,711836751,Fireball21,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,T.J. McConnell,89.47%,30.75
2,711975458,curry_burrito,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C DeAndre Jordan G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL Dwight Howard,,Timothé Luwawu-Cabarrot,78.95%,26
2,712034747,soupajaff,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Russell Westbrook,75.44%,99.75
2,712057229,madoublet98,0,344.25,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Zach Randolph,71.93%,29.5
2,712069689,Hunta512,0,344.25,PG T.J. McConnell SG Nik Stauskas SF Justin Anderson PF Zach Randolph C Dwight Howard G Russell Westbrook F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,DeAndre Jordan,42.11%,53.5
7,711908704,youdacao,0,325.75,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Dario Saric C Dwight Howard G Chris Paul F Blake Griffin UTIL DeAndre Jordan,,Dwight Howard,40.35%,56
7,712216043,KOutplayed,0,325.75,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Blake Griffin C Dwight Howard G Chris Paul F Dario Saric UTIL DeAndre Jordan,,Dario Saric,36.84%,31.75
9,712053674,MrTuttle05,0,321.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Blake Griffin UTIL Danté Exum,,Nik Stauskas,33.33%,31.75
10,711769392,ChipotleAddict,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Justin Anderson C DeAndre Jordan G T.J. McConnell F Dario Saric UTIL Zach Randolph,,Rudy Gobert,29.82%,36.25
10,711835780,Makisupa,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C DeAndre Jordan G T.J. McConnell F Zach Randolph UTIL Timothé Luwawu-Cabarrot,,Carmelo Anthony,17.54%,18.75
10,711906167,Dinkpiece,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C Zach Randolph G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Brandan Wright,14.04%,23.5
10,711921513,benstunner,0,320,PG Russell Westbrook SG Nik Stauskas SF Justin Anderson PF Dario Saric C Zach Randolph G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Blake Griffin,12.28%,56.5
10,712129261,craftylefty,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Justin Anderson C Zach Randolph G T.J. McConnell F Dario Saric UTIL DeAndre Jordan,,Chris Paul,10.53%,54.25
10,712270516,ineedmoney23,0,320,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Dario Saric C DeAndre Jordan G T.J. McConnell F Justin Anderson UTIL Zach Randolph,,Monta Ellis,8.77%,10.25
10,712280373,MJordan23,0,320,PG T.J. McConnell SG Nik Stauskas SF Justin Anderson PF Dario Saric C DeAndre Jordan G Timothé Luwawu-Cabarrot F Zach Randolph UTIL Russell Westbrook,,Gerald Henderson,8.77%,14
17,712021609,btjordan23,0,316.25,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G Russell Westbrook F Brandan Wright UTIL DeAndre Jordan,,Guillermo Hernangómez,8.77%,23.25
17,712038997,Notorious,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Brandan Wright UTIL DeAndre Jordan,,Greg Monroe,7.02%,30.5
17,712069900,BirdWings,0,316.25,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C DeAndre Jordan G Russell Westbrook F Brandan Wright UTIL Rudy Gobert,,Georgios Papagiannis,7.02%,14.25
17,712127148,eddiecas08,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Brandan Wright UTIL DeAndre Jordan,,Stephen Curry,7.02%,53.75
17,712281690,Jrake,0,316.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Brandan Wright C Rudy Gobert G T.J. McConnell F Zach Randolph UTIL DeAndre Jordan,,Rodney Hood,5.26%,28.75
22,712181597,core649,0,313.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Greg Monroe G T.J. McConnell F Blake Griffin UTIL Guillermo Hernangómez,,Anthony Davis,5.26%,56.25
23,712200333,Superstars92,0,310.25,PG Isaiah Thomas SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Blake Griffin C DeAndre Jordan G Chris Paul F Dario Saric UTIL Willie Cauley-Stein,,Darren Collison,5.26%,17
24,712147836,themasterson,0,310,PG Russell Westbrook SG Ron Baker SF Justin Anderson PF Dario Saric C DeMarcus Cousins G Nik Stauskas F Brandan Wright UTIL Zach Randolph,,Willie Cauley-Stein,5.26%,20
25,712103500,theoddsmaker,0,309.5,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Carmelo Anthony C Dwight Howard G T.J. McConnell F Justin Anderson UTIL Zach Randolph,,DeMarcus Cousins,3.51%,61.5
25,712270148,Nro79,0,309.5,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G Russell Westbrook F Carmelo Anthony UTIL Nik Stauskas,,Kawhi Leonard,3.51%,34.75
27,711881190,0_for_5,0,306.75,PG Russell Westbrook SG Gerald Henderson SF Timothé Luwawu-Cabarrot PF Justin Anderson C Rudy Gobert G T.J. McConnell F Zach Randolph UTIL DeAndre Jordan,,Skal Labissiere,3.51%,24.75
27,711988421,sparkyyyyy,0,306.75,PG Russell Westbrook SG Gerald Henderson SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Elfrid Payton,3.51%,31
27,712065940,Bmiller45,0,306.75,PG Russell Westbrook SG Gerald Henderson SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL DeAndre Jordan,,Delon Wright,3.51%,8
30,712230241,Sennz,0,305.25,PG Dennis Schroder SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Brandan Wright UTIL Russell Westbrook,,Taurean Prince,3.51%,16.5
31,711940980,moklovin,0,305,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Dario Saric C Dwight Howard G T.J. McConnell F Zach Randolph UTIL Georgios Papagiannis,,Myles Turner,3.51%,18.25
31,712065301,kingfi,0,305,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Dario Saric UTIL Georgios Papagiannis,,Hassan Whiteside,3.51%,31.25
31,712068718,yellowsub,0,305,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Georgios Papagiannis G Russell Westbrook F Dario Saric UTIL Dwight Howard,,Danté Exum,3.51%,5.75
31,712197310,DonHo1978,0,305,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Dario Saric C Dwight Howard G T.J. McConnell F Zach Randolph UTIL Georgios Papagiannis,,Paul George,3.51%,39.75
35,712027148,jsac631,0,296.5,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Dwight Howard G T.J. McConnell F Dario Saric UTIL Danté Exum,,Tyreke Evans,3.51%,17.75
36,711975841,SaahilSud,0,293.5,PG Russell Westbrook SG Gerald Henderson SF Justin Anderson PF Dario Saric C Dwight Howard G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL Myles Turner,,Jae Crowder,3.51%,18
37,712274588,xlegna105106x,0,292.25,PG T.J. McConnell SG Malcolm Brogdon SF Justin Anderson PF Blake Griffin C Dwight Howard G Darren Collison F Wesley Matthews UTIL Anthony Davis,,Dennis Schroder,3.51%,22.75
38,711891167,rex21023,0,291.75,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Brandan Wright C Zach Randolph G Russell Westbrook F Kawhi Leonard UTIL Greg Monroe,,Malcolm Brogdon,3.51%,38.5
39,711916862,rivrsurvivor,0,285.5,PG Russell Westbrook SG Courtney Lee SF Justin Anderson PF Zach Randolph C Nikola Vucevic G T.J. McConnell F Skal Labissiere UTIL Guillermo Hernangómez,,Joe Johnson,1.75%,23.25
40,711724706,papagates,0,285.25,PG Russell Westbrook SG Nik Stauskas SF Timothé Luwawu-Cabarrot PF Justin Anderson C Zach Randolph G T.J. McConnell F Dario Saric UTIL Carmelo Anthony,,Courtney Lee,1.75%,20.5
40,712219730,FORJStamp24,0,285.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Carmelo Anthony C Zach Randolph G T.J. McConnell F Dario Saric UTIL Nik Stauskas,,Nikola Vucevic,1.75%,40
42,711873371,travmorales08,0,280.5,PG Russell Westbrook SG Rodney Hood SF Timothé Luwawu-Cabarrot PF Carmelo Anthony C Rudy Gobert G T.J. McConnell F Justin Anderson UTIL Joe Johnson,,Josh Richardson,1.75%,31.75
43,711992015,pianoclub,0,278.25,PG Stephen Curry SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Dario Saric C Guillermo Hernangómez G Chris Paul F Carmelo Anthony UTIL DeAndre Jordan,,Ersan Ilyasova,1.75%,24.25
44,712282335,kfalik,0,276.25,PG Russell Westbrook SG Timothé Luwawu-Cabarrot SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Willie Cauley-Stein UTIL Darren Collison,,P.J. Tucker,1.75%,11.25
45,712265235,Stillmatic,0,272,PG Russell Westbrook SG Gerald Henderson SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL Carmelo Anthony,,Kemba Walker,1.75%,28
46,712086836,JBlaney28,0,269.75,PG Stephen Curry SG Monta Ellis SF Justin Anderson PF Paul George C Rudy Gobert G T.J. McConnell F Timothé Luwawu-Cabarrot UTIL Dwight Howard,,DeMar DeRozan,1.75%,46.5
47,711836197,shocae,0,269.5,PG T.J. McConnell SG Timothé Luwawu-Cabarrot SF Justin Anderson PF DeMarcus Cousins C Rudy Gobert G Monta Ellis F Dario Saric UTIL Dwight Howard,,Joe Ingles,1.75%,28.5
48,711935284,ShawShaneK,0,265.25,PG Russell Westbrook SG Rodney Hood SF Josh Richardson PF Ersan Ilyasova C Greg Monroe G Elfrid Payton F P.J. Tucker UTIL Delon Wright,,Tony Allen,1.75%,22.5
49,712101029,Drose0127,0,263.75,PG Russell Westbrook SG Monta Ellis SF Justin Anderson PF Zach Randolph C Rudy Gobert G T.J. McConnell F Tony Allen UTIL Tyreke Evans,,Ron Baker,1.75%,15.25
50,712269327,IanWilson,0,248.5,PG T.J. McConnell SG Tyreke Evans SF Justin Anderson PF Carmelo Anthony C Rudy Gobert G Chris Paul F Willie Cauley-Stein UTIL Stephen Curry,,Buddy Hield,1.75%,7.5
51,711978907,marshall78,0,246.25,PG T.J. McConnell SG Monta Ellis SF Carmelo Anthony PF Anthony Davis C Dwight Howard G Timothé Luwawu-Cabarrot F Justin Anderson UTIL Hassan Whiteside,,LaMarcus Aldridge,1.75%,32.5
52,712285832,royh21k,0,243,PG Russell Westbrook SG Devin Harris SF Jae Crowder PF Zach Randolph C Kyle O'Quinn G Elfrid Payton F Justin Anderson UTIL Al Horford,,Giannis Antetokounmpo,1.75%,49.75
53,712181470,JPheezy87,0,241,PG T.J. McConnell SG Rodney Hood SF Kawhi Leonard PF LaMarcus Aldridge C Greg Monroe G Giannis Antetokounmpo F Justin Anderson UTIL Darren Collison,,Isaiah Thomas,1.75%,51.25
54,712152087,Onlypatel,0,239.75,PG Stephen Curry SG Buddy Hield SF Carmelo Anthony PF Skal Labissiere C Dwight Howard G T.J. McConnell F Justin Anderson UTIL Hassan Whiteside,,Wesley Matthews,1.75%,20.25
55,711941703,turningpoint16,0,225.5,PG Kemba Walker SG DeMar DeRozan SF Taurean Prince PF Zach Randolph C Rudy Gobert G Joe Ingles F Justin Anderson UTIL Guillermo Hernangómez,,Devin Harris,1.75%,2
56,712287312,salcap88,0,222.5,PG T.J. McConnell SG Monta Ellis SF Paul George PF Zach Randolph C Myles Turner G Chris Paul F Justin Anderson UTIL Dennis Schroder,,Kyle O'Quinn,1.75%,15.25
57,712192688,JohnnyDramaChase,0,220.75,PG T.J. McConnell SG Delon Wright SF Jae Crowder PF Anthony Davis C Rudy Gobert G Nik Stauskas F Taurean Prince UTIL Guillermo Hernangómez,,Al Horford,1.75%,30.5
